"## Filename : qalingo-document-wording",,,,,,,,,,,,,,,
"## PrefixKey : document",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"##",,,,,,,,,,,,,,,
"## Qalingo - {Q} Project",,,,,,,,,,,,,,,
"## Internationalisation - """"XXLANGUAGE_CODEXX"""" - Document Messages",,,,,,,,,,,,,,,
"##",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Prefix","Key","en","fr","de","es","it","nl","pt","jp","zh_CN","zh_HK","zh_SG","zh_TW","vi_VN","ru"
"##",,,,,,,,,,,,,,,
"## -- Common --",,,,,,,,,,,,,,,
"##",,,,,,,,,,,,,,,
"common","header_order_informations","Order N°{0}","Commande N°{0}","Bestell Nr {0} ","Orden N ° {0} ","Ordine N ° {0} ","Bestel N ° {0} ","Ordem N ° {0} ","注文N°{0}","为了N°{0}","為了N°{0}","为了N°{0}","為了N°{0}","Để N ° {0}","Заказать N ° {0}"
"common","header_customer_informations","Customer informations","Informations client","Kundeninformation","Información para clientes ","informazioni clienti ","klant informatie ","informações do Cliente ","顧客情報","客户信息","客戶信息","客户信息","客戶信息","Thông tin khách hàng","информация по работе с клиентами"
"common","header_billing_address","Billing address","Adresse de facturation","Rechnungsadresse ","dirección de Envio ","indirizzo di fatturazione ","factuuradres","endereço de Cobrança ","請求先住所","帐单地址","帳單地址","帐单地址","帳單地址","địa chỉ thanh toán","адрес для выставления счета"
"common","header_shipping_address","Shipping address","Adresse de livraison","Versandadresse","dirección de envío ","indirizzo di spedizione ","verzendadres","endereço para envio ","お届け先の住所","收件地址","收件地址","收件地址","收件地址","địa chỉ giao hàng","адрес доставки"
"common","header_table_items","Items","Produits","Angebote","Artículos","Articoli ","items","itens ","アイテム","项目","項目","项目","項目","Items","Предметы"
,,,,,,,,,,,,,,,
"common","item_code","Code","Code","Code","código ","codice ","Code","código ","コード","代码","代碼","代码","代碼","Mã","код"
"common","item_category","Category","Catégorie","Kategorie","categoría ","categoria ","categorie","categoria ","カテゴリ","类别","類別","类别","類別","Category","категория"
"common","item_product","Product","Produit","Produkt","producto","prodotto","product","produto ","製品","产品","產品","产品","產品","Sản phẩm","продукт"
"common","item_model","Model","Modèle","Modell","modelo","modello","model","modelo ","モデル","型号","型號","型号","型號","kiểu mẫu","модель"
"common","item_quantity","Quantity","Quantité","Menge","cantidad","quantità","hoeveelheid","quantidade ","数量","数量","數量","数量","數量","Số lượng","количество"
,,,,,,,,,,,,,,,
"##",,,,,,,,,,,,,,,
"## -- Order confirmation --",,,,,,,,,,,,,,,
"##",,,,,,,,,,,,,,,
"order_confirmation","header_title","Order confirmation","Confirmation de commande","Auftragsbestätigung","confirmación de la orden ","conferma dell'ordine ","orderbevestiging","confirmação do pedido ","注文確認","订单确认","訂單確認","订单确认","訂單確認","xác nhận đặt hàng","Подтверждение заказа"
"order_confirmation","header_text","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Fusce auctor purus gravida arcu aliquam mattis. Donec et nulla libero, ut varius massa. Nulla sed turpis elit. Etiam aliquet mauris a ligula hendrerit in auctor leo lobortis.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Fusce auctor purus gravida arcu aliquam mattis. Donec et nulla libero, ut varius massa. Nulla sed turpis elit. Etiam aliquet mauris a ligula hendrerit in auctor leo lobortis.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Fusce auctor purus gravida arcu aliquam mattis. Donec et nulla libero, ut varius massa. Nulla sed turpis elit. Etiam aliquet mauris a ligula hendrerit in auctor leo lobortis.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Fusce auctor purus gravida arcu aliquam mattis. Donec et nulla libero, ut varius massa. Nulla sed turpis elit. Etiam aliquet mauris a ligula hendrerit in auctor leo lobortis.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Fusce auctor purus gravida arcu aliquam mattis. Donec et nulla libero, ut varius massa. Nulla sed turpis elit. Etiam aliquet mauris a ligula hendrerit in auctor leo lobortis.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Fusce auctor purus gravida arcu aliquam mattis. Donec et nulla libero, ut varius massa. Nulla sed turpis elit. Etiam aliquet mauris a ligula hendrerit in auctor leo lobortis.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Fusce auctor purus gravida arcu aliquam mattis. Donec et nulla libero, ut varius massa. Nulla sed turpis elit. Etiam aliquet mauris a ligula hendrerit in auctor leo lobortis.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Fusce auctor purus gravida arcu aliquam mattis. Donec et nulla libero, ut varius massa. Nulla sed turpis elit. Etiam aliquet mauris a ligula hendrerit in auctor leo lobortis.","Lorem存有悲坐阿梅德，consectetur adipiscing ELIT。 Fusce auctor普鲁斯孕妇arcu aliquam马蒂斯。 Donec等法无自由人，UT杂色山雀马萨。法无sed的turpis ELIT。 Etiam aliquet mauris在auctor狮子座lobortis一个ligula hendrerit。","Lorem存有悲坐阿梅德，consectetur adipiscing ELIT。 Fusce auctor普魯斯孕婦arcu aliquam馬蒂斯。 Donec等法無自由人，UT雜色山雀馬薩。法無sed的turpis ELIT。 Etiam aliquet mauris在auctor獅子座lobortis一個ligula hendrerit。","Lorem存有悲坐阿梅德，consectetur adipiscing ELIT。 Fusce auctor普鲁斯孕妇arcu aliquam马蒂斯。 Donec等法无自由人，UT杂色山雀马萨。法无sed的turpis ELIT。 Etiam aliquet mauris在auctor狮子座lobortis一个ligula hendrerit。","Lorem存有悲坐阿梅德，consectetur adipiscing ELIT。 Fusce auctor普魯斯孕婦arcu aliquam馬蒂斯。 Donec等法無自由人，UT雜色山雀馬薩。法無sed的turpis ELIT。 Etiam aliquet mauris在auctor獅子座lobortis一個ligula hendrerit。","Lorem ipsum dolor sit Amet, consectetur adipiscing elit. Fusce auctor Purus gravida arcu aliquam Mattis. Donec et nulla libero, ut varius massa. Nulla sed turpis elit. Etiam aliquet mauris một hendrerit ligula trong auctor leo lobortis.","Lorem Ipsum боль сидеть Амет, consectetur adipiscing Элит. Fusce auctor Purus Gravida arcu aliquam Маттис. Донец и др Nulla либеро, ут Varius Масса. Nulla СЭД turpis Элит. Etiam aliquet mauris в язычок hendrerit в auctor Лео lobortis."
,,,,,,,,,,,,,,,
"##",,,,,,,,,,,,,,,
"## -- Shipping confirmation --",,,,,,,,,,,,,,,
"##",,,,,,,,,,,,,,,
"shipping_confirmation","header_title","Shipping confirmation","Confirmation d'envoi","Versandbestätigung","La confirmación del envío ","conferma spedizione ","verzendbevestiging","confirmação de envio ","発送の確認","发货确认","發貨確認","发货确认","發貨確認","xác nhận vận chuyển","Подтверждение Доставка"
